18,7,18,3,12,2,0,0,0,43,14,2,1,6,26,0,1,3,7,0,0,7,0,0,4,3,0,0,4,0,5,1,7,15,3,1,8,0,10,0,7,2,9,29,1,0,27,0,4,0,0,27,0,337
28,7,12,8,6,3,0,1,0,34,17,0,1,5,33,3,1,9,0,0,1,3,2,0,5,5,0,0,2,0,5,0,7,10,1,3,4,7,12,0,9,5,3,34,0,0,22,1,2,0,0,25,0,336
22,7,7,7,8,3,0,2,0,26,13,0,0,0,21,0,3,2,12,0,0,2,3,2,19,3,0,1,5,0,5,0,8,4,3,3,10,0,12,0,5,1,6,27,3,2,8,0,2,0,0,35,0,302
33,7,8,5,7,5,0,0,0,22,27,0,1,2,21,0,6,4,4,0,1,1,2,0,19,2,0,0,0,0,4,3,8,6,2,1,10,0,23,0,1,1,8,35,2,0,15,0,4,1,0,23,0,324
27,7,3,2,8,1,0,0,0,30,28,0,0,4,12,1,0,3,2,0,1,1,0,0,5,2,1,2,1,0,6,0,9,15,6,4,13,2,12,0,4,1,2,33,1,0,17,0,3,0,0,24,0,293
22,7,4,5,6,4,0,1,0,35,17,1,1,1,14,0,0,4,4,0,2,2,0,3,2,1,7,0,2,0,3,0,7,11,3,6,8,2,20,0,3,0,6,33,1,0,23,1,2,2,0,28,0,304
19,7,2,4,15,3,0,0,0,29,18,0,0,0,25,9,2,5,6,0,0,2,2,0,3,4,0,1,1,1,7,3,9,8,0,4,9,0,10,0,2,0,3,35,2,0,14,0,4,12,0,20,0,300
11,4,13,3,12,0,0,1,0,32,22,0,0,2,12,0,5,2,8,0,2,4,7,1,1,5,0,0,5,1,11,4,9,14,1,11,4,2,24,0,5,2,4,42,2,0,10,3,3,1,0,31,0,336
18,0,27,4,14,6,0,0,0,38,4,0,0,0,12,0,9,8,7,0,2,7,4,1,3,1,0,1,5,0,6,2,10,14,1,8,20,4,24,0,6,2,11,44,2,0,12,0,10,5,0,27,0,379
11,0,28,8,10,1,0,3,0,30,9,0,0,6,11,0,11,6,13,1,5,4,3,1,6,6,0,0,6,2,2,2,8,24,2,8,16,1,29,1,7,0,7,38,2,0,16,0,1,2,0,21,0,368
11,1,4,7,17,4,0,0,0,48,21,0,0,2,7,0,11,2,7,0,6,8,3,1,14,1,0,0,4,1,12,4,9,36,0,12,12,1,29,0,6,2,11,34,3,0,23,0,4,10,0,22,0,410
14,0,8,3,8,4,0,3,0,39,22,0,0,2,19,0,2,7,1,0,7,5,0,3,3,13,0,0,2,3,3,3,14,48,3,11,6,0,26,1,12,0,9,28,0,0,11,3,0,2,0,13,0,361
8,0,10,10,19,6,0,1,0,45,24,0,0,2,15,1,0,6,8,0,4,5,1,1,6,6,0,0,5,0,5,1,19,38,1,15,7,0,17,1,11,0,14,45,0,0,17,0,4,1,0,31,0,410
23,0,11,11,19,4,0,2,0,65,32,0,2,5,9,1,8,7,6,0,8,10,6,0,10,11,0,0,6,2,9,6,14,4,3,11,15,0,22,0,16,0,16,64,2,0,17,0,6,4,3,29,0,499
29,0,11,9,25,4,2,6,0,76,22,0,3,8,18,0,5,11,1,2,3,10,6,2,10,8,0,0,9,0,18,1,24,3,1,9,14,1,30,0,14,3,13,50,1,0,23,1,5,6,2,22,0,521
19,0,18,10,28,4,3,5,1,78,21,1,2,6,18,3,5,6,7,1,5,12,28,2,18,15,0,5,8,3,24,3,24,24,5,17,14,7,31,0,10,2,20,45,0,0,33,0,6,7,2,37,0,643
32,0,33,15,54,18,14,9,1,90,39,0,0,23,33,0,4,5,18,5,9,21,27,15,22,31,0,19,7,0,41,6,47,22,7,44,21,3,68,3,16,6,25,55,5,1,39,1,12,17,3,27,0,1013
23,0,30,11,66,30,16,10,3,92,52,0,1,25,37,4,8,7,30,2,5,25,58,28,8,39,1,18,6,6,48,2,82,42,3,43,36,6,87,3,21,9,38,74,2,0,43,1,13,6,1,22,0,1223
34,2,44,14,70,41,16,13,0,107,48,0,2,28,49,2,16,9,35,1,34,26,56,42,19,53,3,13,3,11,72,4,83,45,7,77,38,7,80,1,21,2,49,90,4,0,49,0,7,24,1,23,0,1475
20,7,68,15,118,53,25,10,0,116,48,1,3,27,121,5,22,11,44,1,31,38,68,75,32,85,3,30,9,5,56,5,66,98,14,91,85,3,97,4,36,27,58,93,7,1,44,5,25,48,4,23,0,1981
60,8,149,33,97,63,21,17,0,126,69,0,6,49,96,13,33,10,59,2,10,63,102,112,54,126,17,45,8,8,56,3,78,180,46,180,151,8,119,3,50,30,84,107,6,0,56,5,19,99,20,15,0,2771
25,3,79,42,93,27,8,9,0,86,37,0,4,26,60,15,47,5,25,4,9,56,57,103,35,74,21,32,17,2,41,3,42,174,39,85,122,3,93,2,20,22,67,118,2,0,53,0,15,58,10,22,0,1992
33,15,37,34,81,29,2,6,0,132,31,0,3,42,46,11,34,19,11,0,17,50,46,61,36,74,13,24,3,10,36,2,47,114,31,68,94,5,67,1,17,26,41,83,2,1,50,6,5,34,2,19,0,1651
22,12,27,21,64,9,11,5,0,74,51,0,3,18,28,12,18,23,7,0,4,55,31,43,17,50,13,19,5,5,15,0,22,47,22,24,33,4,42,1,10,18,27,99,5,0,54,4,13,20,9,18,0,1134
18,1,39,18,30,11,2,1,0,61,35,0,2,7,33,7,7,23,10,1,9,39,31,18,14,54,5,29,9,1,21,0,17,25,13,37,38,4,33,2,10,11,28,92,6,0,50,4,8,22,1,13,0,950
17,1,38,23,32,20,4,0,3,79,45,0,1,16,36,17,11,15,24,3,11,37,32,23,22,56,10,30,4,1,27,12,18,30,16,20,59,1,47,0,23,10,38,118,6,0,47,6,9,31,1,7,0,1137
12,0,63,24,34,27,0,2,0,64,38,0,1,9,34,52,20,15,22,7,8,37,40,19,22,42,13,29,6,11,25,7,34,32,5,29,70,2,60,0,20,19,24,173,4,0,39,8,5,28,2,19,0,1256
20,0,66,32,18,22,1,3,1,74,45,0,1,26,61,44,25,20,40,4,14,54,52,28,27,60,9,34,8,7,32,8,30,32,5,41,78,6,96,1,21,14,29,284,6,0,37,5,12,29,2,9,0,1573
